
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
C6,MMC_SDWP,,MMC_SDWP,UART0_RTSn,I2C2_SCL,,,EPWM20_A,GPMC_AD14,GPIO83,SDFM1_CLK3,,,,,,,
A5,MMC_SDCD,,MMC_SDCD,UART0_CTSn,I2C2_SDA,,,EPWM20_B,GPMC_AD15,GPIO84,SDFM1_D3,,,,,,,
L17,PR0_MDIO_MDIO,,PR0_MDIO_MDIO,,,,,EPWM21_A,GPMC_CSn2,GPIO85,,,,,,,,
L18,PR0_MDIO_MDC,,PR0_MDIO_MDC,,,,,EPWM21_B,GPMC_CSn3,GPIO86,,,,,,,,
G17,PR0_PRU0_GPIO5,,PR0_PRU0_GPIO5,,RMII2_RX_ER,,MII2_RX_ER,EPWM22_A,GPMC_DIR,GPIO87,,,,,,,,
F17,PR0_PRU0_GPIO9,,PR0_PRU0_GPIO9,,,PR0_UART0_CTSn,MII2_COL,EPWM22_B,GPMC_CLK,GPIO88,,,,,,,,
G18,PR0_PRU0_GPIO10,,PR0_PRU0_GPIO10,,RMII2_CRS_DV,PR0_UART0_RTSn,MII2_CRS,EPWM23_A,GPMC_WAIT0,GPIO89,,,,,,,,
G15,PR0_PRU0_GPIO8,,PR0_PRU0_GPIO8,,,,,EPWM23_B,GPMC_WPn,GPIO90,,,,,,,,
K15,PR0_PRU0_GPIO6,,PR0_PRU0_GPIO6,,RMII2_REF_CLK,RGMII2_RXC,MII2_RXCLK,EPWM24_A,GPMC_CSn1,GPIO91,,,,,,,,
K16,PR0_PRU0_GPIO4,,PR0_PRU0_GPIO4,,,RGMII2_RX_CTL,MII2_RXDV,EPWM24_B,GPMC_A0,GPIO92,,,,,,,,
K17,PR0_PRU0_GPIO0,,PR0_PRU0_GPIO0,,RMII2_RXD0,RGMII2_RD0,MII2_RXD0,EPWM25_A,GPMC_A1,GPIO93,,,,,,,,
K18,PR0_PRU0_GPIO1,,PR0_PRU0_GPIO1,,RMII2_RXD1,RGMII2_RD1,MII2_RXD1,EPWM25_B,GPMC_A2,GPIO94,,,,,,,,
J18,PR0_PRU0_GPIO2,,PR0_PRU0_GPIO2,,,RGMII2_RD2,MII2_RXD2,EPWM26_A,GPMC_A3,GPIO95,,,,,,,,
J17,PR0_PRU0_GPIO3,,PR0_PRU0_GPIO3,,,RGMII2_RD3,MII2_RXD3,EPWM26_B,GPMC_A4,GPIO96,,,,,,,,
H18,PR0_PRU0_GPIO16,,PR0_PRU0_GPIO16,,,RGMII2_TXC,MII2_TXCLK,EPWM27_A,GPMC_A5,GPIO97,,,,,,,,
L16,PR0_PRU0_GPIO15,,PR0_PRU0_GPIO15,,RMII2_TX_EN,RGMII2_TX_CTL,MII2_TX_EN,EPWM27_B,GPMC_A6,GPIO98,,,,,,,,
M16,PR0_PRU0_GPIO11,,PR0_PRU0_GPIO11,,RMII2_TXD0,RGMII2_TD0,MII2_TXD0,EPWM28_A,GPMC_A7,GPIO99,,,,,,,,
M15,PR0_PRU0_GPIO12,,PR0_PRU0_GPIO12,,RMII2_TXD1,RGMII2_TD1,MII2_TXD1,EPWM28_B,GPMC_A8,GPIO100,,,,,,,,
H17,PR0_PRU0_GPIO13,,PR0_PRU0_GPIO13,,,RGMII2_TD2,MII2_TXD2,EPWM29_A,GPMC_A9,GPIO101,,,,,,,,
H16,PR0_PRU0_GPIO14,,PR0_PRU0_GPIO14,,,RGMII2_TD3,MII2_TXD3,EPWM29_B,GPMC_A10,GPIO102,,,,,,,,
F15,PR0_PRU1_GPIO5,,PR0_PRU1_GPIO5,,,,TRC_DATA0,EPWM30_A,GPMC_OEn_REn,GPIO103,,,,,,,,
C18,PR0_PRU1_GPIO9,,PR0_PRU1_GPIO9,,,PR0_UART0_RXD,TRC_DATA1,EPWM30_B,GPMC_BE0n_CLE,GPIO104,,,,,,,,
D17,PR0_PRU1_GPIO10,,PR0_PRU1_GPIO10,,,PR0_UART0_TXD,TRC_DATA2,EPWM31_A,GPMC_BE1n,GPIO105,,,,,,,,
D18,PR0_PRU1_GPIO8,,PR0_PRU1_GPIO8,,,,TRC_DATA3,EPWM31_B,GPMC_WEn,GPIO106,,,,,,,,
E16,PR0_PRU1_GPIO6,,PR0_PRU1_GPIO6,,,FSITX2_CLK,TRC_DATA4,,GPMC_A11,GPIO107,,,,,,,,
F16,PR0_PRU1_GPIO4,,PR0_PRU1_GPIO4,,,FSITX2_D0,TRC_DATA5,,GPMC_A12,GPIO108,,,,,,,,
F18,PR0_PRU1_GPIO0,,PR0_PRU1_GPIO0,,,FSITX2_D1,TRC_DATA6,,GPMC_A13,GPIO109,,,,,,,,
